ps	Pashto	PK	0:00:02.055839	done	2020-07-10 23:06:59.738147
ps	Pashto	IR	0:00:01.678726	done	2020-07-10 23:07:01.419485
ps	Pashto	TJ	0:00:01.591641	done	2020-07-10 23:07:03.013782
ps	Pashto	AF	0:00:02.074369	done	2020-07-10 23:07:05.090662
ps	Pashto		0:00:03.618266	done	2020-07-10 23:07:08.711186
pt	Portuguese	CV	0:00:28.455864	done	2020-07-10 23:07:42.505303
pt	Portuguese	MZ	0:00:30.239914	done	2020-07-10 23:08:12.747550
pt	Portuguese	TL	0:00:28.826608	done	2020-07-10 23:08:41.577152
pt	Portuguese	GW	0:00:25.830852	done	2020-07-10 23:09:07.410581
pt	Portuguese	PT	0:01:13.150310	done	2020-07-10 23:10:20.563961
pt	Portuguese	MO	0:00:22.049586	done	2020-07-10 23:10:42.617287
pt	Portuguese	ST	0:00:25.186721	done	2020-07-10 23:11:07.806180
pt	Portuguese	BR	0:02:53.785148	done	2020-07-10 23:14:01.593662
pt	Portuguese	AO	0:00:34.110962	done	2020-07-10 23:14:35.707918
pt	Portuguese		0:04:06.435555	done	2020-07-10 23:18:42.147060
qu	Southern Quechua	PE	0:00:02.888947	done	2020-07-10 23:18:45.407956
qu	Southern Quechua		0:00:03.514368	done	2020-07-10 23:18:48.924613
rm	Romansh	CH	0:00:02.169276	done	2020-07-10 23:18:51.127101
rm	Romansh		0:00:02.534369	done	2020-07-10 23:18:53.663648
rmy	Romani	RS	0:00:00.643946	done	2020-07-10 23:18:54.327790
rmy	Romani	DE	0:00:00.629768	done	2020-07-10 23:18:54.959765
rmy	Romani	RO	0:00:01.446407	done	2020-07-10 23:18:56.408276
rmy	Romani	SK	0:00:00.625262	done	2020-07-10 23:18:57.036000
rmy	Romani		0:00:01.503812	done	2020-07-10 23:18:58.542250
rn	Kirundi	BI	0:00:02.071018	done	2020-07-10 23:19:00.632966
rn	Kirundi		0:00:02.118694	done	2020-07-10 23:19:02.753685
ro	Romanian	MD	0:00:16.775862	done	2020-07-10 23:19:21.819598
ro	Romanian	RS	0:00:03.477320	done	2020-07-10 23:19:25.299337
ro	Romanian	RO	0:01:13.381958	done	2020-07-10 23:20:38.683621
ro	Romanian		0:01:27.173166	done	2020-07-10 23:22:05.859263
roa_rup	Aromanian	MK	0:00:01.701782	done	2020-07-10 23:22:07.723537
roa_rup	Aromanian	GR	0:00:00.814264	done	2020-07-10 23:22:08.540712
roa_rup	Aromanian	AL	0:00:00.892982	done	2020-07-10 23:22:09.436478
roa_rup	Aromanian		0:00:01.659755	done	2020-07-10 23:22:11.098895
roa_tara	Tarantino	IT	0:00:01.790449	done	2020-07-10 23:22:12.941768
roa_tara	Tarantino		0:00:01.927349	done	2020-07-10 23:22:14.872011
ru	Russian	UA	0:02:12.692473	done	2020-07-10 23:24:38.836215
ru	Russian	RU	0:08:35.399101	done	2020-07-10 23:33:14.238386
ru	Russian	BY	0:01:09.883122	done	2020-07-10 23:34:24.123880
ru	Russian	GE	0:00:57.479096	done	2020-07-10 23:35:21.606047
ru	Russian	KG	0:00:31.710366	done	2020-07-10 23:35:53.319380
ru	Russian	KZ	0:01:10.959439	done	2020-07-10 23:37:04.281807
ru	Russian		0:12:30.115282	done	2020-07-10 23:49:34.400157
rue	Rusyn	UA	0:00:01.754755	done	2020-07-10 23:49:36.853352
rue	Rusyn	SK	0:00:03.851659	done	2020-07-10 23:49:40.708053
rue	Rusyn		0:00:03.817379	done	2020-07-10 23:49:44.527809
rw	Kinyarwanda	RW	0:00:01.813353	done	2020-07-10 23:49:46.365789
rw	Kinyarwanda	CD	0:00:00.647685	done	2020-07-10 23:49:47.015564
rw	Kinyarwanda	UG	0:00:00.637718	done	2020-07-10 23:49:47.656044
rw	Kinyarwanda		0:00:01.839183	done	2020-07-10 23:49:49.497317
sa	Sanskrit	IN	0:00:01.665903	done	2020-07-10 23:49:51.208996
sa	Sanskrit		0:00:02.172337	done	2020-07-10 23:49:53.383435
sah	Sakha	RU	0:00:04.770221	done	2020-07-10 23:49:58.217727
sah	Sakha		0:00:04.977241	done	2020-07-10 23:50:03.197023
sc	Sardinian	IT	0:00:01.551107	done	2020-07-10 23:50:04.798027
sc	Sardinian		0:00:02.630060	done	2020-07-10 23:50:07.430280
scn	Sicilian	IT	0:00:06.105969	done	2020-07-10 23:50:13.625506
scn	Sicilian		0:00:06.213458	done	2020-07-10 23:50:19.842160
sco	Scots	GB	0:00:09.229588	done	2020-07-10 23:50:29.324884
sco	Scots		0:00:09.211406	done	2020-07-10 23:50:38.538919
sd	Sindhi	PK	0:00:05.872945	done	2020-07-10 23:50:44.474538
sd	Sindhi	IN	0:00:01.712218	done	2020-07-10 23:50:46.188688
sd	Sindhi		0:00:06.015278	done	2020-07-10 23:50:52.206072
se	Northern Sami	SE	0:00:01.323705	done	2020-07-10 23:50:53.568610
se	Northern Sami	NO	0:00:01.941882	done	2020-07-10 23:50:55.512560
se	Northern Sami	FI	0:00:01.792126	done	2020-07-10 23:50:57.306853
se	Northern Sami		0:00:02.485717	done	2020-07-10 23:50:59.794816
sg	Sango	CF	0:00:01.396484	done	2020-07-10 23:51:01.210911
sg	Sango		0:00:01.436675	done	2020-07-10 23:51:02.649894
sh	Serbo-Croatian	ME	0:00:14.348163	done	2020-07-10 23:51:19.336351
sh	Serbo-Croatian	RS	0:00:24.022918	done	2020-07-10 23:51:43.362206
sh	Serbo-Croatian	BA	0:00:16.042316	done	2020-07-10 23:51:59.406987
sh	Serbo-Croatian	MK	0:00:08.373752	done	2020-07-10 23:52:07.783035
sh	Serbo-Croatian		0:00:29.648534	done	2020-07-10 23:52:37.433821
si	Sinhala	LK	0:00:05.681380	done	2020-07-10 23:52:43.308232
si	Sinhala		0:00:06.013246	done	2020-07-10 23:52:49.323914
simple	Basic English	AS	0:00:01.635552	done	2020-07-10 23:52:51.709312
simple	Basic English	TK	0:00:03.726226	done	2020-07-10 23:52:55.438453
simple	Basic English	JM	0:00:04.947555	done	2020-07-10 23:53:00.388314
simple	Basic English	BS	0:00:04.395965	done	2020-07-10 23:53:04.786402
simple	Basic English	MS	0:00:03.725535	done	2020-07-10 23:53:08.514329
simple	Basic English	US	0:00:58.841350	done	2020-07-10 23:54:07.357961
simple	Basic English	VU	0:00:04.463916	done	2020-07-10 23:54:11.824659
simple	Basic English	VC	0:00:04.368710	done	2020-07-10 23:54:16.195842
simple	Basic English	RW	0:00:05.060654	done	2020-07-10 23:54:21.258646
simple	Basic English	FJ	0:00:05.355281	done	2020-07-10 23:54:26.616457
simple	Basic English	NZ	0:00:06.610748	done	2020-07-10 23:54:33.230186
simple	Basic English	PN	0:00:04.363784	done	2020-07-10 23:54:37.597006
simple	Basic English	LR	0:00:04.694845	done	2020-07-10 23:54:42.294819
simple	Basic English	KY	0:00:04.403813	done	2020-07-10 23:54:46.701080
simple	Basic English	KE	0:00:05.484127	done	2020-07-10 23:54:52.187671
simple	Basic English	PH	0:00:06.430059	done	2020-07-10 23:54:58.620186
simple	Basic English	TO	0:00:04.295407	done	2020-07-10 23:55:02.917936
simple	Basic English	BW	0:00:04.271802	done	2020-07-10 23:55:07.192347
simple	Basic English	TT	0:00:04.429779	done	2020-07-10 23:55:11.624303
simple	Basic English	BZ	0:00:05.040217	done	2020-07-10 23:55:16.666857
simple	Basic English	GH	0:00:05.140616	done	2020-07-10 23:55:21.810056
simple	Basic English	PK	0:00:08.586261	done	2020-07-10 23:55:30.399622
simple	Basic English	PW	0:00:04.457681	done	2020-07-10 23:55:34.859827
simple	Basic English	MY	0:00:06.031787	done	2020-07-10 23:55:40.894112
simple	Basic English	NG	0:00:05.388531	done	2020-07-10 23:55:46.284907
simple	Basic English	MP	0:00:03.672012	done	2020-07-10 23:55:49.959188
simple	Basic English	SB	0:00:04.004098	done	2020-07-10 23:55:53.965801
simple	Basic English	SZ	0:00:03.918679	done	2020-07-10 23:55:57.886550
simple	Basic English	SX	0:00:01.629449	done	2020-07-10 23:55:59.518977
simple	Basic English	BQ	0:00:01.627712	done	2020-07-10 23:56:01.148895
simple	Basic English	DM	0:00:04.246686	done	2020-07-10 23:56:05.397697
simple	Basic English	SC	0:00:03.884656	done	2020-07-10 23:56:09.284632
simple	Basic English	IO	0:00:01.615499	done	2020-07-10 23:56:10.902340
simple	Basic English	NA	0:00:04.296644	done	2020-07-10 23:56:15.201140
simple	Basic English	IN	0:00:09.079441	done	2020-07-10 23:56:24.282594
simple	Basic English	GG	0:00:03.857330	done	2020-07-10 23:56:28.141877
simple	Basic English	IM	0:00:04.046412	done	2020-07-10 23:56:32.190602
simple	Basic English	MU	0:00:04.183103	done	2020-07-10 23:56:36.375859
simple	Basic English	PG	0:00:03.965253	done	2020-07-10 23:56:40.343356
simple	Basic English	PR	0:00:04.609032	done	2020-07-10 23:56:44.954589
simple	Basic English	BN	0:00:04.110406	done	2020-07-10 23:56:49.067150
simple	Basic English	LC	0:00:03.964103	done	2020-07-10 23:56:53.034182
simple	Basic English	FM	0:00:03.973299	done	2020-07-10 23:56:57.009993
simple	Basic English	CK	0:00:03.860545	done	2020-07-10 23:57:00.872727
simple	Basic English	NR	0:00:03.987417	done	2020-07-10 23:57:04.862275
simple	Basic English	SL	0:00:04.172057	done	2020-07-10 23:57:09.036449
simple	Basic English	TC	0:00:03.755376	done	2020-07-10 23:57:12.794026
simple	Basic English	VG	0:00:03.990229	done	2020-07-10 23:57:16.786448
simple	Basic English	HK	0:00:04.585947	done	2020-07-10 23:57:21.374804
simple	Basic English	LS	0:00:04.052447	done	2020-07-10 23:57:25.429522
simple	Basic English	SD	0:00:04.558409	done	2020-07-10 23:57:29.990640
simple	Basic English	KI	0:00:04.311454	done	2020-07-10 23:57:34.304408
simple	Basic English	GD	0:00:04.265084	done	2020-07-10 23:57:38.573490
simple	Basic English	CM	0:00:01.767520	done	2020-07-10 23:57:40.343234
simple	Basic English	MT	0:00:04.551159	done	2020-07-10 23:57:44.896622
simple	Basic English	GY	0:00:04.288643	done	2020-07-10 23:57:49.187616
simple	Basic English	BM	0:00:04.077120	done	2020-07-10 23:57:53.267079
simple	Basic English	SG	0:00:05.521154	done	2020-07-10 23:57:58.790428
simple	Basic English	BB	0:00:04.500651	done	2020-07-10 23:58:03.293405
simple	Basic English	ZM	0:00:04.424987	done	2020-07-10 23:58:07.720576
simple	Basic English	ZA	0:00:04.704677	done	2020-07-10 23:58:12.427556
simple	Basic English	NU	0:00:03.892769	done	2020-07-10 23:58:16.322578
simple	Basic English	VI	0:00:03.806972	done	2020-07-10 23:58:20.131833
simple	Basic English	GB	0:00:11.439741	done	2020-07-10 23:58:31.573694
simple	Basic English	AU	0:00:09.039876	done	2020-07-10 23:58:40.615870
simple	Basic English	MH	0:00:04.181054	done	2020-07-10 23:58:44.799038
simple	Basic English	WS	0:00:04.062330	done	2020-07-10 23:58:48.863571
simple	Basic English	AG	0:00:04.426186	done	2020-07-10 23:58:53.291997
simple	Basic English	UG	0:00:04.371453	done	2020-07-10 23:58:57.666479
simple	Basic English	AI	0:00:03.756521	done	2020-07-10 23:59:01.425158
simple	Basic English	GU	0:00:03.926130	done	2020-07-10 23:59:05.353723
simple	Basic English	IE	0:00:06.922235	done	2020-07-10 23:59:12.278250
simple	Basic English	MW	0:00:04.246943	done	2020-07-10 23:59:16.527715
simple	Basic English	ZW	0:00:04.407804	done	2020-07-10 23:59:20.937765
simple	Basic English	NF	0:00:03.606292	done	2020-07-10 23:59:24.546185
simple	Basic English	CA	0:00:09.534704	done	2020-07-10 23:59:34.083092
simple	Basic English	KN	0:00:03.922116	done	2020-07-10 23:59:38.008241
simple	Basic English	GI	0:00:04.116658	done	2020-07-10 23:59:42.127183
simple	Basic English	TV	0:00:03.945894	done	2020-07-10 23:59:46.075300
simple	Basic English	GM	0:00:04.188061	done	2020-07-10 23:59:50.265691
simple	Basic English	JE	0:00:03.809351	done	2020-07-10 23:59:54.077198
simple	Basic English		0:01:14.127589	done	2020-07-11 00:01:08.206966
sk	Slovak	HU	0:00:07.372031	done	2020-07-11 00:01:16.674948
sk	Slovak	RS	0:00:04.555994	done	2020-07-11 00:01:21.233822
sk	Slovak	SK	0:00:11.511929	done	2020-07-11 00:01:32.747782
sk	Slovak		0:00:13.895500	done	2020-07-11 00:01:46.645595
sl	Slovene	HU	0:00:04.658348	done	2020-07-11 00:01:52.105299
sl	Slovene	SI	0:00:26.674989	done	2020-07-11 00:02:18.784353
sl	Slovene	IT	0:00:04.160487	done	2020-07-11 00:02:22.946816
sl	Slovene	AT	0:00:05.958442	done	2020-07-11 00:02:28.907524
sl	Slovene		0:00:30.561587	done	2020-07-11 00:02:59.471488
sm	Samoan	WS	0:00:01.403763	done	2020-07-11 00:03:00.926120
sm	Samoan	US	0:00:00.634905	done	2020-07-11 00:03:01.563691
sm	Samoan		0:00:01.440811	done	2020-07-11 00:03:03.006693
sn	Shona	ZW	0:00:03.084610	done	2020-07-11 00:03:06.119827
sn	Shona	ZM	0:00:01.275313	done	2020-07-11 00:03:07.397408
sn	Shona		0:00:03.126205	done	2020-07-11 00:03:10.525797
so	Somali	ET	0:00:01.392440	done	2020-07-11 00:03:11.950417
so	Somali	KE	0:00:01.333950	done	2020-07-11 00:03:13.286663
so	Somali	DJ	0:00:01.516958	done	2020-07-11 00:03:14.805913
so	Somali	SO	0:00:03.731601	done	2020-07-11 00:03:18.539762
so	Somali		0:00:03.872615	done	2020-07-11 00:03:22.414493
sq	Albanian	MK	0:00:03.203988	done	2020-07-11 00:03:25.951189
sq	Albanian	IT	0:00:02.479057	done	2020-07-11 00:03:28.432457
sq	Albanian	GR	0:00:03.334517	done	2020-07-11 00:03:31.769592
sq	Albanian	ME	0:00:04.655987	done	2020-07-11 00:03:36.427850
sq	Albanian	RS	0:00:02.839926	done	2020-07-11 00:03:39.270196
sq	Albanian	AL	0:00:16.400163	done	2020-07-11 00:03:55.672594
sq	Albanian		0:00:17.897934	done	2020-07-11 00:04:13.572464
sat	Santali	IN	0:00:01.899237	done	2020-07-11 00:04:15.516724
sat	Santali		0:00:03.856966	done	2020-07-11 00:04:19.375901
sr	Serbian	MK	0:00:11.757759	done	2020-07-11 00:04:34.507170
sr	Serbian	RS	0:00:41.572285	done	2020-07-11 00:05:16.082835
sr	Serbian	BA	0:00:25.919097	done	2020-07-11 00:05:42.004491
sr	Serbian	HR	0:00:26.225924	done	2020-07-11 00:06:08.232988
sr	Serbian	ME	0:00:21.750180	done	2020-07-11 00:06:29.985411
sr	Serbian		0:01:06.318981	done	2020-07-11 00:07:36.306578
srn	Sranan tongo	SR	0:00:01.707949	done	2020-07-11 00:07:38.189850
srn	Sranan tongo		0:00:02.186634	done	2020-07-11 00:07:40.378483
ss	Swazi	ZA	0:00:01.201284	done	2020-07-11 00:07:41.599757
ss	Swazi	SZ	0:00:01.678735	done	2020-07-11 00:07:43.280467
ss	Swazi	MZ	0:00:00.621967	done	2020-07-11 00:07:43.904258
ss	Swazi		0:00:01.737672	done	2020-07-11 00:07:45.644122
st	Sotho	LS	0:00:01.415135	done	2020-07-11 00:07:47.079020
st	Sotho	ZA	0:00:01.698286	done	2020-07-11 00:07:48.779388
st	Sotho		0:00:01.860097	done	2020-07-11 00:07:50.641682
stq	Saterland Frisian	DE	0:00:01.758245	done	2020-07-11 00:07:52.424547
stq	Saterland Frisian		0:00:01.905377	done	2020-07-11 00:07:54.332147
su	Sundanese	ID	0:00:14.347328	done	2020-07-11 00:08:08.874652
su	Sundanese		0:00:14.996704	done	2020-07-11 00:08:23.873716
sv	Swedish	SE	0:05:13.251796	done	2020-07-11 00:13:56.385411
sv	Swedish	AX	0:01:38.892898	done	2020-07-11 00:15:35.282197
sv	Swedish	FI	0:02:00.421936	done	2020-07-11 00:17:35.706785
sv	Swedish		0:07:08.078501	done	2020-07-11 00:24:43.788632
sw	Swahili	CD	0:00:02.432664	done	2020-07-11 00:24:47.742655
sw	Swahili	MZ	0:00:02.117349	done	2020-07-11 00:24:49.862338
sw	Swahili	UG	0:00:08.169591	done	2020-07-11 00:24:58.034181
sw	Swahili	TZ	0:00:13.208259	done	2020-07-11 00:25:11.245099
sw	Swahili	SO	0:00:02.388249	done	2020-07-11 00:25:13.635410
sw	Swahili	KE	0:00:02.552930	done	2020-07-11 00:25:16.190816
sw	Swahili		0:00:17.608003	done	2020-07-11 00:25:33.801137
szl	Silesian	PL	0:00:03.046737	done	2020-07-11 00:25:37.047756
szl	Silesian		0:00:03.142891	done	2020-07-11 00:25:40.193075
ta	Tamil	LK	0:00:04.032108	done	2020-07-11 00:25:44.838424
ta	Tamil	IN	0:00:26.793860	done	2020-07-11 00:26:11.635227
ta	Tamil		0:00:34.581334	done	2020-07-11 00:26:46.218914
tcy	Tulu	IN	0:00:01.536604	done	2020-07-11 00:26:47.803175
tcy	Tulu		0:00:01.632331	done	2020-07-11 00:26:49.437688
te	Telugu	IN	0:00:32.453860	done	2020-07-11 00:27:22.166673
te	Telugu		0:00:39.136636	done	2020-07-11 00:28:01.306195
tet	Tetum	ID	0:00:01.540381	done	2020-07-11 00:28:02.890304
tet	Tetum	TL	0:00:02.151678	done	2020-07-11 00:28:05.044574
tet	Tetum		0:00:02.346574	done	2020-07-11 00:28:07.393882
tg	Tajik	UZ	0:00:04.428126	done	2020-07-11 00:28:12.302563
tg	Tajik	TJ	0:00:11.119223	done	2020-07-11 00:28:23.424236
tg	Tajik		0:00:11.589853	done	2020-07-11 00:28:35.017072
th	Thai	TH	0:00:22.271986	done	2020-07-11 00:28:57.995217
th	Thai	KH	0:00:03.383079	done	2020-07-11 00:29:01.381500
th	Thai		0:00:22.928765	done	2020-07-11 00:29:24.312481
ti	Tigrinya	ET	0:00:01.195222	done	2020-07-11 00:29:25.555159
ti	Tigrinya	ER	0:00:01.354339	done	2020-07-11 00:29:26.911652
ti	Tigrinya		0:00:01.342765	done	2020-07-11 00:29:28.256725
tk	Turkmen	TM	0:00:03.342394	done	2020-07-11 00:29:31.629765
tk	Turkmen	IR	0:00:01.580208	done	2020-07-11 00:29:33.212198
tk	Turkmen	AF	0:00:01.276274	done	2020-07-11 00:29:34.490685
tk	Turkmen		0:00:03.911697	done	2020-07-11 00:29:38.404611
tl	Tagalog	PH	0:00:15.142865	done	2020-07-11 00:29:53.812495
tl	Tagalog		0:00:16.154585	done	2020-07-11 00:30:09.969978
tn	Tswana	ZA	0:00:01.546052	done	2020-07-11 00:30:11.557528
tn	Tswana	ZW	0:00:00.692885	done	2020-07-11 00:30:12.252853
tn	Tswana	BW	0:00:02.719108	done	2020-07-11 00:30:14.975092
tn	Tswana	NA	0:00:01.324327	done	2020-07-11 00:30:16.301706
tn	Tswana		0:00:02.875915	done	2020-07-11 00:30:19.181713
to	Tongan	TO	0:00:02.434987	done	2020-07-11 00:30:21.641021
to	Tongan		0:00:02.478769	done	2020-07-11 00:30:24.122081
tpi	Tok Pisin	PG	0:00:01.709763	done	2020-07-11 00:30:25.853929
tpi	Tok Pisin		0:00:01.757185	done	2020-07-11 00:30:27.613753
tr	Turkish	CY	0:00:13.599195	done	2020-07-11 00:30:43.184354
tr	Turkish	GR	0:00:02.691633	done	2020-07-11 00:30:45.879373
tr	Turkish	BG	0:00:08.094042	done	2020-07-11 00:30:53.975716
tr	Turkish	TR	0:00:49.517421	done	2020-07-11 00:31:43.495485
tr	Turkish		0:00:52.010368	done	2020-07-11 00:32:35.507952
ts	Tsonga	ZA	0:00:01.235034	done	2020-07-11 00:32:36.850779
ts	Tsonga	MZ	0:00:00.623745	done	2020-07-11 00:32:37.476946
ts	Tsonga		0:00:01.712549	done	2020-07-11 00:32:39.191841
tt	Tatar	RU	0:00:13.330734	done	2020-07-11 00:32:52.936669
tt	Tatar		0:00:13.226837	done	2020-07-11 00:33:06.166741
tum	Tumbuka	MW	0:00:00.631657	done	2020-07-11 00:33:06.835050
tum	Tumbuka	ZM	0:00:00.694461	done	2020-07-11 00:33:07.532402
tum	Tumbuka		0:00:01.349531	done	2020-07-11 00:33:08.884333
tw	Twi	GH	0:00:01.613617	done	2020-07-11 00:33:10.524329
tw	Twi		0:00:01.599573	done	2020-07-11 00:33:12.126207
ty	Tahitian	FR	0:00:00.616634	done	2020-07-11 00:33:12.763698
ty	Tahitian		0:00:01.314072	done	2020-07-11 00:33:14.080157
tyv	Tuvan	RU	0:00:01.539885	done	2020-07-11 00:33:15.644956
tyv	Tuvan	MN	0:00:01.292142	done	2020-07-11 00:33:16.939386
tyv	Tuvan		0:00:02.007041	done	2020-07-11 00:33:18.948873
udm	Udmurt	RU	0:00:03.395715	done	2020-07-11 00:33:22.372439
udm	Udmurt		0:00:03.379668	done	2020-07-11 00:33:25.754417
ug	Uyghur	KZ	0:00:01.569482	done	2020-07-11 00:33:27.356360
ug	Uyghur	MN	0:00:00.649142	done	2020-07-11 00:33:28.007786
ug	Uyghur	CN	0:00:01.434898	done	2020-07-11 00:33:29.445001
ug	Uyghur		0:00:01.957631	done	2020-07-11 00:33:31.404805
uk	Ukrainian	MD	0:00:24.605216	done	2020-07-11 00:34:01.955286
uk	Ukrainian	UA	0:03:18.598112	done	2020-07-11 00:37:20.556415
uk	Ukrainian	RO	0:00:27.417281	done	2020-07-11 00:37:47.976975
uk	Ukrainian		0:03:29.494836	done	2020-07-11 00:41:17.474562
ur	Urdu	PK	0:00:16.687683	done	2020-07-11 00:41:35.371404
ur	Urdu	IN	0:00:15.646532	done	2020-07-11 00:41:51.020803
ur	Urdu		0:00:36.843599	done	2020-07-11 00:42:27.866577
uz	Uzbek	TM	0:00:01.540942	done	2020-07-11 00:42:30.063417
uz	Uzbek	UZ	0:00:18.293363	done	2020-07-11 00:42:48.359600
uz	Uzbek	TJ	0:00:03.954082	done	2020-07-11 00:42:52.316599
uz	Uzbek	AF	0:00:03.546795	done	2020-07-11 00:42:55.865873
uz	Uzbek		0:00:16.672680	done	2020-07-11 00:43:12.540910
ve	Venda	ZA	0:00:01.834497	done	2020-07-11 00:43:14.417682
ve	Venda	ZW	0:00:01.260787	done	2020-07-11 00:43:15.680826
ve	Venda		0:00:01.826026	done	2020-07-11 00:43:17.509023
vec	Venetian	IT	0:00:06.044569	done	2020-07-11 00:43:23.796621
vec	Venetian		0:00:06.149467	done	2020-07-11 00:43:29.949240
vep	Veps	RU	0:00:02.125478	done	2020-07-11 00:43:32.128130
vep	Veps		0:00:02.520239	done	2020-07-11 00:43:34.650658
vi	Vietnamese	VN	0:00:56.761346	done	2020-07-11 00:44:36.981660
vi	Vietnamese	CN	0:00:18.020964	done	2020-07-11 00:44:55.005768
vi	Vietnamese		0:00:57.738071	done	2020-07-11 00:45:52.746089
vls	West Flemish	NL	0:00:01.502832	done	2020-07-11 00:45:54.575128
vls	West Flemish	BE	0:00:02.246554	done	2020-07-11 00:45:56.823672
vls	West Flemish	FR	0:00:00.664919	done	2020-07-11 00:45:57.490695
vls	West Flemish		0:00:02.608962	done	2020-07-11 00:46:00.101839
wa	Walloon	BE	0:00:04.945872	done	2020-07-11 00:46:05.126040
wa	Walloon		0:00:04.922055	done	2020-07-11 00:46:10.050908
war	Waray language	PH	0:00:23.482858	done	2020-07-11 00:46:38.341426
war	Waray language		0:00:24.142352	done	2020-07-11 00:47:02.486631
wo	Wolof	MR	0:00:00.771390	done	2020-07-11 00:47:03.682057
wo	Wolof	SN	0:00:01.809503	done	2020-07-11 00:47:05.494348
wo	Wolof		0:00:01.823340	done	2020-07-11 00:47:07.320283
wuu	Wu Chinese	CN	0:00:03.364252	done	2020-07-11 00:47:10.802937
wuu	Wu Chinese		0:00:04.212698	done	2020-07-11 00:47:15.018755
xal	Kalmyk Oirat	RU	0:00:01.413131	done	2020-07-11 00:47:16.459026
xal	Kalmyk Oirat		0:00:01.480395	done	2020-07-11 00:47:17.941910
xh	Xhosa	ZA	0:00:01.425973	done	2020-07-11 00:47:19.388875
xh	Xhosa	LS	0:00:00.625657	done	2020-07-11 00:47:20.016679
xh	Xhosa		0:00:01.496643	done	2020-07-11 00:47:21.515506
xmf	Mingrelian	GE	0:00:01.984956	done	2020-07-11 00:47:23.564762
xmf	Mingrelian		0:00:02.125482	done	2020-07-11 00:47:25.692762
yi	Yiddish	DE	0:00:02.385437	done	2020-07-11 00:47:28.145872
yi	Yiddish	UA	0:00:02.102668	done	2020-07-11 00:47:30.251300
yi	Yiddish		0:00:04.432005	done	2020-07-11 00:47:34.685256
yo	Yoruba	NG	0:00:06.321150	done	2020-07-11 00:47:41.122804
yo	Yoruba		0:00:06.550390	done	2020-07-11 00:47:47.676169
za	Zhuang	CN	0:00:01.279529	done	2020-07-11 00:47:48.984441
za	Zhuang		0:00:01.432363	done	2020-07-11 00:47:50.419178
zea	Zeelandic	NL	0:00:03.057647	done	2020-07-11 00:47:53.505030
zea	Zeelandic		0:00:03.363896	done	2020-07-11 00:47:56.871416
zh	Standard Chinese	TW	0:02:01.226528	done	2020-07-11 00:50:04.561114
zh	Standard Chinese	MY	0:00:31.153590	done	2020-07-11 00:50:35.718472
zh	Standard Chinese	HK	0:00:46.945005	done	2020-07-11 00:51:22.665923
zh	Standard Chinese	CN	0:00:51.405711	done	2020-07-11 00:52:14.074255
zh	Standard Chinese	MO	0:00:32.029301	done	2020-07-11 00:52:46.106111
zh	Standard Chinese		0:03:30.470032	done	2020-07-11 00:56:16.578882
zh_classical	Classical Chinese	CN	0:00:05.257900	done	2020-07-11 00:56:22.330684
zh_classical	Classical Chinese		0:00:05.588574	done	2020-07-11 00:56:27.921748
zh_yue	Cantonese	MY	0:00:02.989798	done	2020-07-11 00:56:31.356416
zh_yue	Cantonese	HK	0:00:14.757056	done	2020-07-11 00:56:46.116645
zh_yue	Cantonese	CN	0:00:09.826463	done	2020-07-11 00:56:55.945937
zh_yue	Cantonese	MO	0:00:04.542433	done	2020-07-11 00:57:00.490962
zh_yue	Cantonese		0:00:19.693221	done	2020-07-11 00:57:20.186800
zu	Zulu	ZA	0:00:02.672132	done	2020-07-11 00:57:22.898560
zu	Zulu		0:00:03.530301	done	2020-07-11 00:57:26.431827
shn	Shan	MM	0:00:02.292326	done	2020-07-11 00:57:28.760508
shn	Shan	TH	0:00:01.798784	done	2020-07-11 00:57:30.561492
shn	Shan		0:00:02.757341	done	2020-07-11 00:57:33.321087
hyw	Western Armenian	GE	0:00:01.521548	done	2020-07-11 00:57:34.887312
hyw	Western Armenian	AM	0:00:01.741422	done	2020-07-11 00:57:36.630942
hyw	Western Armenian		0:00:05.398062	done	2020-07-11 00:57:42.031429
mnw	Mon	TH	0:00:01.270394	done	2020-07-11 09:14:30.677455
mnw	Mon	MM	0:00:01.310925	done	2020-07-11 09:14:31.993925
mnw	Mon		0:00:01.272463	done	2020-07-11 09:14:33.268626
nqo	N'Ko	GN	0:00:01.732414	done	2020-07-11 09:14:35.026534
nqo	N'Ko		0:00:01.882880	done	2020-07-11 09:14:36.912204
ban	Balinese	ID	0:00:02.018639	done	2020-07-11 09:14:38.975071
ban	Balinese		0:00:05.118132	done	2020-07-11 09:14:44.095409
gcr	Guianan Creole	GF	0:00:01.220705	done	2020-07-11 09:14:45.346036
gcr	Guianan Creole		0:00:01.235150	done	2020-07-11 09:14:46.583632
szy	Sakizaya	TW	0:00:00.636508	done	2020-07-11 09:14:47.251949
szy	Sakizaya		0:00:00.699367	done	2020-07-11 09:14:47.953716
* aa done with page_titles sitelinks. 2 titles. 0:00:10.710451
* ab done with page_titles sitelinks. 2479 titles. 0:00:10.820805
* ace done with page_titles sitelinks. 6119 titles. 0:00:10.917214
* ady done with page_titles sitelinks. 921 titles. 0:00:10.718276
* af done with page_titles sitelinks. 36821 titles. 0:00:13.697510
* ak done with page_titles sitelinks. 1284 titles. 0:00:10.929270
* als done with page_titles sitelinks. 18144 titles. 0:00:11.186311
