,qitem,page_id,page_title,num_editors,num_edits,num_pageviews,num_interwiki,num_bytes,date_created,lgbt_topic,page_title_1,page_title_2,page_title_3,page_title_4
12,Q13909,90935,Angelina_Jolie,662,2929,4915.0,127,104946,20040628235208,58,Angelina Jolie,Angelina Jolie,Angelina Jolie,Angelina Jolie
13,Q7197,11819,Simone_de_Beauvoir,452,1871,2293.0,117,54998,20030310225104,57,Simone de Beauvoir,Simone de Beauvoir,Simone de Beauvoir,Simone de Beauvoir
14,Q4612,12427,Marlene_Dietrich,322,1322,822.0,147,94032,20030323031531,57,Marlene Dietrich,Marlene Dietrich,Marlene Dietrich,Marlene Dietrich
15,Q1427,22299,Hadrien,306,1316,1114.0,84,46086,20030710205452,57,Adriano,Adrianu,Hadrian,Hadriano
16,Q41408,56421,Federico_García_Lorca,278,1056,797.0,103,91410,20040304023457,57,Federico García Lorca,Federico García Lorca,Federico García Lorca,Federico García Lorca
17,Q40909,119206,Virginia_Woolf,244,732,1163.0,102,42014,20040913182821,56,Virginia Woolf,Virginia Woolf,Virginia Woolf,Virginia Woolf
18,Q5588,2038038,Frida_Kahlo,351,1972,5144.0,145,40538,20040528060153,56,Frida Kahlo,Frida Kahlo,Frida Kahlo,Frida Kahlo
19,Q41351,2180073,Jodie_Foster,341,1187,2243.0,92,73946,20040621081346,56,Jodie Foster,Jodie Foster,Jodie Foster,Jodie Foster
20,Q76127,234104,Soekarno,122,266,199.0,89,14198,20050409130125,55,Sukarno,Sukarno,Sukarno,Sukarno
21,Q79037,2974181,Spider-Man,467,2703,1844.0,92,123402,20031028100842,55,Spider-Man,Spider-Man,Spider-Man,Spiderman
22,Q44272,28228,Michel_Foucault,424,1745,1547.0,84,118529,20030914023420,54,Michel Foucault,Michel Foucault,,Michel Foucault
23,Q493,9996,Arthur_Rimbaud,699,3862,4003.0,97,198825,20030213200249,53,Arthur Rimbaud,Arthur Rimbaud,Arthur Rimbaud,Arthur Rimbaud
24,Q5443,128542,Greta_Garbo,213,649,1199.0,86,37850,20041005205230,53,Greta Garbo,Greta Garbo,Greta Garbo,Greta Garbo
25,Q2808,132832,Elton_John,410,1721,3115.0,86,51330,20041016133311,53,Elton John,Elton John,,Elton John
26,Q130311,356237,George_Michael,292,1520,3272.0,83,197794,20050811180441,53,George Michael,George Michael,George Michael,George Michael
27,Q41173,2962250,Demi_Lovato,471,3396,1800.0,107,136259,20080508102400,53,Demi Lovato,Demi Lovato,Demi Lovato,Demi Lovato
28,Q83158,9104,Jean_Cocteau,428,1615,1917.0,80,61205,20030206100637,52,Jean Cocteau,Jean Cocteau,Jean Cocteau,Jean Cocteau
